dyn_window_months,dyn_quantile,pe_window_years,band,base_position,trend_sensitivity,cheap_threshold,expensive_threshold,max_weight,period_years,start_date,end_date,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,calmar_ratio,benchmark_return,benchmark_ann_return,benchmark_volatility,benchmark_sharpe,benchmark_max_dd,excess_return,num_trades,avg_position
36,0.1,5,0.0,0.5,0.3,0.2,0.85,1.2,10,2016-01-31,2026-01-31,0.3529766807762764,0.031220545503511943,0.06896889661674284,0.1626899378405896,-0.1364572535306764,0.2287935942994293,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.018337860588721444,119,0.2607466953355771
36,0.1,5,0.0,0.5,0.3,0.2,0.85,1.2,20,2006-01-31,2026-01-31,0.3644444530662505,0.015791319329493403,0.09333202317860516,-0.04509364018020525,-0.3026705467323053,0.05217329370161648,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.061733721147960274,239,0.27812192934500746
36,0.1,5,0.0,0.5,0.3,0.25,0.75,1.2,10,2016-01-31,2026-01-31,0.32948034752143096,0.029384969342297618,0.06902961230931279,0.13595570115973968,-0.13890268824617102,0.21155076055993927,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.02017343674993577,119,0.23957862650530862
36,0.1,5,0.0,0.5,0.3,0.25,0.75,1.2,20,2006-01-31,2026-01-31,0.3480965136986902,0.015174157884086714,0.09059759866661785,-0.05326677734220616,-0.2913407676417019,0.052083881040460044,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.06235088259336696,239,0.25910471989050343
36,0.1,5,0.0,0.5,0.3,0.25,0.8,1.2,10,2016-01-31,2026-01-31,0.3569272843619762,0.031526357867684984,0.07074704028972978,0.16292353461687137,-0.13943703827812715,0.22609744338373816,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.018032048224548403,119,0.25735823366994
36,0.1,5,0.0,0.5,0.3,0.25,0.8,1.2,20,2006-01-31,2026-01-31,0.38555617134639286,0.01657801402538195,0.0932166182378262,-0.036710042043012564,-0.2986006844046567,0.055519008800782955,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.06094702645207173,239,0.27439851604700277
36,0.1,5,0.0,0.5,0.3,0.25,0.85,1.2,10,2016-01-31,2026-01-31,0.3732325496535034,0.032780129162698346,0.07236156768809006,0.17661487404178805,-0.13988218781469908,0.23434098132724338,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.01677827692953504,119,0.2741199127017473
36,0.1,5,0.0,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.39963889182419554,0.017096480125167846,0.09603100834184032,-0.03023523260837305,-0.30463743554358014,0.05612074594398329,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.06042856035228583,239,0.28894280649558024
36,0.1,5,0.03,0.5,0.3,0.15,0.75,1.2,10,2016-01-31,2026-01-31,0.2897378107749484,0.02621281522231733,0.06196703245488773,0.10026000884971033,-0.13099724141686875,0.200102039850603,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.023345590869916055,62,0.21899232558307133
36,0.1,5,0.03,0.5,0.3,0.15,0.75,1.2,20,2006-01-31,2026-01-31,0.2922958486609468,0.013012695594460055,0.08597701738484412,-0.08126944406856867,-0.29046239787062134,0.04479993172905021,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.06451234488299362,114,0.24155930835592848
36,0.1,5,0.03,0.5,0.3,0.15,0.8,1.2,10,2016-01-31,2026-01-31,0.3155025538775109,0.028279126337004357,0.0638883683593495,0.12958738107752565,-0.13363898733661694,0.2116083554701997,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.02127927975522903,65,0.2316997135250777
36,0.1,5,0.03,0.5,0.3,0.15,0.8,1.2,20,2006-01-31,2026-01-31,0.32969318694917926,0.014470840968987542,0.08836910492807222,-0.06256891518266369,-0.2981359433216926,0.04853772680932106,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.06305419950846614,115,0.25407303851473645
36,0.1,5,0.03,0.5,0.3,0.15,0.85,1.2,10,2016-01-31,2026-01-31,0.32750919372098397,0.02922965733290428,0.06567456715476985,0.14053624915644292,-0.13443716362190872,0.21742244886324597,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.020328748759329107,65,0.25016951477584104
36,0.1,5,0.03,0.5,0.3,0.15,0.85,1.2,20,2006-01-31,2026-01-31,0.340206267141548,0.014873741087230608,0.09086385103529868,-0.05641692327984151,-0.30392272812199816,0.04893921944942568,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.06265129939022307,115,0.26858622105182517
36,0.1,5,0.03,0.5,0.3,0.2,0.75,1.2,10,2016-01-31,2026-01-31,0.3087113740761025,0.0277380320785392,0.06540254500427796,0.11831392919087562,-0.13614601386985925,0.2037373793775096,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.021820374013694188,60,0.23139915504286857
36,0.1,5,0.03,0.5,0.3,0.2,0.75,1.2,20,2006-01-31,2026-01-31,0.3231504834834058,0.014218570561409738,0.08809314276922697,-0.06562859783235993,-0.2931121525765227,0.04850897663718566,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.06330646991604394,110,0.25113951693588177
36,0.1,5,0.03,0.5,0.3,0.2,0.8,1.2,10,2016-01-31,2026-01-31,0.33939801424189,0.030163281684650656,0.06720836292938086,0.15122049164223383,-0.13686659192168493,0.22038454571814053,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.01939512440758273,64,0.24410207811099816
36,0.1,5,0.03,0.5,0.3,0.2,0.8,1.2,20,2006-01-31,2026-01-31,0.3669548631802688,0.01588546893603504,0.09054609619345531,-0.045441286117670954,-0.29958591532567924,0.053024752244330245,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.061639571541418636,115,0.26359823105535685
