month_end,gap_ma3,prev_gap_ma3,dyn_thr,trend_signal,pe_pct,val_weight,target_position,traded
2011-01-31,0.15666666666666806,2.2900000000000014,-5.584666666666666,-1,0.4540960451977401,0.7546995377503852,0.13753044882578563,False
2011-02-28,-1.1099999999999988,0.15666666666666806,-5.362,-1,0.49056603773584906,0.6751286449399657,0.13753044882578563,False
2011-03-31,-2.1399999999999992,-1.1099999999999988,-4.47,-1,0.22420907840440166,1.2,0.24,True
2011-04-30,-1.7399999999999995,-2.1399999999999992,-4.256666666666667,1,0.1778682959945689,1.2,0.96,True
2011-05-31,-2.14,-1.7399999999999995,-4.208666666666667,-1,0.10843373493975904,1.2,0.24,True
2011-06-30,-2.5333333333333337,-2.14,-3.53,-1,0.12409240924092409,1.2,0.24,False
2011-07-31,-2.766666666666667,-2.5333333333333337,-3.318,-1,0.10221354166666667,1.2,0.24,False
2011-08-31,-2.733333333333334,-2.766666666666667,-2.886,1,0.055163566388710714,1.2,0.96,True
2011-09-30,-3.1966666666666668,-2.733333333333334,-3.23,-1,0.0006329113924050633,1.2,0.24,True
2011-10-31,-3.6633333333333336,-3.1966666666666668,-3.4233333333333333,-1,0.045112781954887216,1.2,0.24,False
2011-11-30,-4.53,-3.6633333333333336,-3.7819999999999996,-1,0.001854140914709518,1.2,0.24,False
2011-12-31,-5.053333333333334,-4.53,-4.256666666666667,-1,0.006097560975609756,1.2,0.24,False
2012-01-31,-6.653333333333333,-5.053333333333334,-4.311333333333334,-1,0.030211480362537766,1.2,0.24,False
2012-02-29,-7.920000000000001,-6.653333333333333,-4.634666666666667,-1,0.10023866348448687,1.2,0.24,False
2012-03-31,-9.0,-7.920000000000001,-5.146,-1,0.0005889281507656066,1.2,0.24,False
2012-04-30,-9.133333333333333,-9.0,-5.692666666666665,-1,0.009329446064139942,1.2,0.24,False
2012-05-31,-9.466666666666667,-9.133333333333333,-6.447999999999999,-1,0.008635578583765112,1.2,0.24,False
2012-06-30,-9.433333333333332,-9.466666666666667,-6.658,0,0.0028457598178713715,1.2,0.6,True
2012-07-31,-9.299999999999999,-9.433333333333332,-6.869999999999999,0,0.0016863406408094434,1.2,0.6,False
2012-08-31,-9.066666666666668,-9.299999999999999,-7.698666666666667,0,0.0005549389567147614,1.2,0.6,False
2012-09-30,-8.600000000000001,-9.066666666666668,-7.935333333333334,0,0.010976948408342482,1.2,0.6,False
2012-10-31,-8.166666666666666,-8.600000000000001,-8.030666666666667,0,0.011956521739130435,1.2,0.6,False
2012-11-30,-7.966666666666666,-8.166666666666666,-8.030666666666667,1,0.0021482277121374865,1.2,0.96,True
2012-12-31,-7.900000000000001,-7.966666666666666,-8.030666666666667,1,0.08019118428040362,1.2,0.96,False
2013-01-31,-5.433333333333334,-7.900000000000001,-8.030666666666667,1,0.10877561744613767,1.2,0.96,False
2013-02-28,-4.533333333333333,-5.433333333333334,-8.030666666666667,1,0.10688216892596454,1.2,0.96,False
2013-03-31,-3.366666666666666,-4.533333333333333,-8.030666666666667,1,0.05054151624548736,1.2,0.96,False
2013-04-30,-4.566666666666666,-3.366666666666666,-8.030666666666667,-1,0.020439448134900357,1.2,0.24,True
2013-05-31,-4.166666666666667,-4.566666666666666,-8.030666666666667,1,0.07124810510358767,1.2,0.96,True
2013-06-30,-4.533333333333334,-4.166666666666667,-8.030666666666667,-1,0.00250501002004008,1.2,0.24,True
2013-07-31,-4.733333333333333,-4.533333333333334,-8.030666666666667,-1,0.004952947003467063,1.2,0.24,False
2013-08-31,-4.833333333333333,-4.733333333333333,-8.030666666666667,-1,0.018618324350808426,1.2,0.24,False
2013-09-30,-4.966666666666666,-4.833333333333333,-8.030666666666667,-1,0.032524271844660196,1.2,0.24,False
2013-10-31,-5.166666666666666,-4.966666666666666,-8.030666666666667,-1,0.030798845043310877,1.2,0.24,False
2013-11-30,-5.166666666666666,-5.166666666666666,-8.030666666666667,-1,0.06526917579799904,1.2,0.24,False
2013-12-31,-4.833333333333333,-5.166666666666666,-8.030666666666667,1,0.036775106082036775,1.2,0.96,True
2014-01-31,-7.033333333333332,-4.833333333333333,-7.972666666666666,-1,0.007936507936507936,1.2,0.24,True
2014-02-28,-7.5666666666666655,-7.033333333333332,-7.929333333333334,-1,0.008804448563484708,1.2,0.24,False
2014-03-31,-8.366666666666667,-7.5666666666666655,-7.929333333333334,-1,0.0004589261128958238,1.2,0.24,False
2014-04-30,-6.933333333333333,-8.366666666666667,-7.904000000000001,1,0.0013636363636363637,1.2,0.96,True
2014-05-31,-7.366666666666666,-6.933333333333333,-7.633333333333333,-1,0.009009009009009009,1.2,0.24,True
2014-06-30,-7.066666666666666,-7.366666666666666,-7.633333333333333,1,0.021875,1.2,0.96,True
2014-07-31,-6.766666666666666,-7.066666666666666,-7.633333333333333,1,0.04684047724259832,1.2,0.96,False
2014-08-31,-6.566666666666666,-6.766666666666666,-7.633333333333333,1,0.04859894921190893,1.2,0.96,False
2014-09-30,-7.333333333333333,-6.566666666666666,-7.633333333333333,-1,0.08329718004338395,1.2,0.24,True
2014-10-31,-8.200000000000001,-7.333333333333333,-7.904000000000001,-1,0.11450710288420146,1.2,0.24,False
2014-11-30,-8.866666666666667,-8.200000000000001,-7.929333333333334,-1,0.2274861288945796,1.2,0.24,False
2014-12-31,-9.166666666666666,-8.866666666666667,-8.006666666666666,-1,0.40278951817413355,0.8666410512564359,0.1733282102512872,True
2015-01-31,-6.1000000000000005,-9.166666666666666,-8.006666666666666,1,0.3868398994132439,0.9014402194620132,0.7211521755696106,True
2015-02-28,-5.366666666666667,-6.1000000000000005,-8.006666666666666,1,0.4139941690962099,0.8421945401537239,0.7211521755696106,False
2015-03-31,-5.266666666666667,-5.366666666666667,-8.006666666666666,1,0.48493602971522903,0.6874122988031367,0.5499298390425094,True
2015-04-30,-7.333333333333332,-5.266666666666667,-8.006666666666666,-1,0.5687397708674304,0.5045677726528791,0.10091355453057582,True
2015-05-31,-7.0666666666666655,-7.333333333333332,-8.006666666666666,1,0.5588474025974026,0.526151121605667,0.42092089728453363,True
2015-06-30,-6.666666666666667,-7.0666666666666655,-8.006666666666666,1,0.5460764587525151,0.5540149990854216,0.42092089728453363,False
2015-07-31,-6.766666666666667,-6.666666666666667,-8.006666666666666,-1,0.42503987240829344,0.8180948238364507,0.16361896476729015,True
2015-08-31,-6.066666666666666,-6.766666666666667,-8.006666666666666,1,0.27955713720838277,1.1355117006362558,0.9084093605090047,True
2015-09-30,-4.133333333333333,-6.066666666666666,-8.006666666666666,1,0.2655943507257748,1.165975962052855,0.9084093605090047,False
2015-10-31,-1.7333333333333325,-4.133333333333333,-8.006666666666666,1,0.32969602494154326,1.0261177637639054,0.8208942110111244,True
2015-11-30,0.2666666666666675,-1.7333333333333325,-8.006666666666666,1,0.3405488983378431,1.0024387672628878,0.8208942110111244,False
2015-12-31,1.4666666666666668,0.2666666666666675,-8.006666666666666,1,0.4045977011494253,0.8626959247648902,0.6901567398119122,True
2016-01-31,2.8266666666666667,1.4666666666666668,-8.006666666666666,1,0.2285171102661597,1.2,0.96,True
2016-02-29,3.513333333333333,2.8266666666666667,-8.006666666666666,1,0.20861678004535147,1.2,0.96,False
2016-03-31,5.763333333333333,3.513333333333333,-8.006666666666666,1,0.27313600599475457,1.1495214414659902,0.96,False
2016-04-30,7.596666666666668,5.763333333333333,-8.006666666666666,1,0.23949423577538118,1.2,0.96,False
2016-05-31,10.193333333333335,7.596666666666668,-8.006666666666666,1,0.24649446494464944,1.2,0.96,False
2016-06-30,11.580000000000004,10.193333333333335,-8.006666666666666,1,0.25274725274725274,1.194005994005994,0.96,False
2016-07-31,13.29,11.580000000000004,-8.006666666666666,1,0.26208651399491095,1.1736294240111034,0.96,False
2016-08-31,13.986666666666666,13.29,-8.006666666666666,1,0.29632299927901945,1.0989316379366847,0.8791453103493478,True
2016-09-30,14.116666666666665,13.986666666666666,-8.006666666666666,1,0.27487473156764497,1.1457278583978654,0.8791453103493478,False
2016-10-31,13.116666666666667,14.116666666666665,-8.006666666666666,-1,0.30284697508896796,1.0846975088967972,0.21693950177935944,True
2016-11-30,12.223333333333334,13.116666666666667,-8.006666666666666,-1,0.3463983050847458,0.9896764252696456,0.21693950177935944,False
2016-12-31,11.163333333333334,12.223333333333334,-8.006666666666666,-1,0.3181499649614576,1.0513091673568198,0.21693950177935944,False
2017-01-31,8.36,11.163333333333334,-8.006666666666666,-1,0.3582869080779944,0.9637376551025576,0.21693950177935944,False
2017-02-28,8.273333333333333,8.36,-8.006666666666666,-1,0.38719723183391,0.9006605850896507,0.21693950177935944,False
2017-03-31,7.833333333333333,8.273333333333333,-7.913333333333334,-1,0.40679711637487126,0.8578972006366445,0.21693950177935944,False
2017-04-30,9.479999999999999,7.833333333333333,-7.633333333333333,1,0.40829619472060336,0.8546264842459563,0.6837011873967651,True
2017-05-31,8.446666666666667,9.479999999999999,-7.406666666666666,-1,0.43713600548132925,0.7917032607680089,0.1583406521536018,True
2017-06-30,7.513333333333333,8.446666666666667,-7.34,-1,0.4830421377183967,0.6915444267962254,0.1583406521536018,False
2017-07-31,6.733333333333334,7.513333333333333,-7.333333333333332,-1,0.5113091158327622,0.6298710200012462,0.1583406521536018,False
2017-08-31,5.900000000000001,6.733333333333334,-7.119999999999999,-1,0.5460774237752655,0.5540128935812391,0.1583406521536018,False
2017-09-30,5.600000000000001,5.900000000000001,-7.0666666666666655,-1,0.5405960945529291,0.5659721573390638,0.1583406521536018,False
2017-10-31,4.833333333333334,5.600000000000001,-7.039999999999999,-1,0.5680027406646112,0.5061758385499393,0.10123516770998786,True
2017-11-30,4.233333333333333,4.833333333333334,-6.953333333333332,-1,0.5601233299075026,0.5233672802018126,0.10123516770998786,False
2017-12-31,3.8000000000000007,4.233333333333333,-6.8,-1,0.5827338129496403,0.4740353172007848,0.10123516770998786,False
2018-01-31,4.550000000000002,3.8000000000000007,-6.8,1,0.6298323640095792,0.37127484216091816,0.29701987372873456,True
2018-02-28,3.2500000000000013,4.550000000000002,-6.8,-1,0.5811088295687885,0.4775807354862797,0.09551614709725595,True
2018-03-31,1.650000000000001,3.2500000000000013,-6.8,-1,0.44250513347022585,0.7799887997013254,0.1559977599402651,True
2018-04-30,-0.833333333333333,1.650000000000001,-6.8,-1,0.38287671232876713,0.9100871731008717,0.1559977599402651,False
2018-05-31,-1.4999999999999998,-0.833333333333333,-6.8,-1,0.3756414642490592,0.9258731689111435,0.1559977599402651,False
2018-06-30,-1.9000000000000001,-1.4999999999999998,-6.8,-1,0.3056125941136208,1.0786634310248273,0.21573268620496547,True
2018-07-31,-2.6666666666666665,-1.9000000000000001,-6.8,-1,0.3240930869267625,1.0383423557961546,0.21573268620496547,False
2018-08-31,-3.3333333333333326,-2.6666666666666665,-6.8,-1,0.2809719370294319,1.1324248646630575,0.21573268620496547,False
2018-09-30,-3.9999999999999996,-3.3333333333333326,-6.8,-1,0.3406367682300582,1.0022470511344186,0.21573268620496547,False
2018-10-31,-4.633333333333333,-3.9999999999999996,-6.8,-1,0.24957206436152002,1.2,0.21573268620496547,False
