dyn_window_months,dyn_quantile,pe_window_years,band,base_position,trend_sensitivity,cheap_threshold,expensive_threshold,max_weight,period_years,start_date,end_date,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,calmar_ratio,benchmark_return,benchmark_ann_return,benchmark_volatility,benchmark_sharpe,benchmark_max_dd,excess_return,num_trades,avg_position
60,0.2,12,0.03,0.5,0.3,0.25,0.8,1.2,20,2006-01-31,2026-01-31,0.5611881096715456,0.022713633542497336,0.10680077869804815,0.025408368511707573,-0.29408494996462375,0.07723494026208964,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05481140693495634,119,0.3262485781115673
84,0.15,12,0.1,0.5,0.3,0.25,0.75,1.2,20,2006-01-31,2026-01-31,0.5596152293143875,0.022661657092039933,0.10511371226441149,0.02532169242909608,-0.2936622033019942,0.07716913118960461,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.054863383385413744,74,0.3164521200282323
84,0.15,12,0.1,0.5,0.3,0.2,0.75,1.2,20,2006-01-31,2026-01-31,0.555834533064615,0.02253651859567407,0.10023077732797833,0.025306783637664445,-0.30128358492070895,0.07480168095319623,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.054988521881779606,72,0.2974901440715785
60,0.2,10,0.08,0.5,0.3,0.25,0.8,1.2,20,2006-01-31,2026-01-31,0.5587197973019711,0.022632044949875363,0.10647248174573609,0.024720424533363223,-0.2999665027266093,0.0754485742379785,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.054892995527578314,81,0.31365359165842044
36,0.2,12,0.05,0.5,0.3,0.2,0.8,1.2,20,2006-01-31,2026-01-31,0.5549446513862466,0.022507022132737475,0.1021683773801323,0.024538141810843628,-0.2864081431727006,0.07858373677303587,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.0550180183447162,99,0.30599322311214416
36,0.15,12,0.05,0.5,0.3,0.25,0.8,1.2,20,2006-01-31,2026-01-31,0.5593048638561853,0.022651395063624014,0.10838540347512922,0.024462658057387024,-0.3086593823079523,0.07338638111128114,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.054873645413829664,101,0.3312951001352248
60,0.2,12,0.1,0.5,0.3,0.2,0.75,1.2,20,2006-01-31,2026-01-31,0.5522111109620655,0.022416314484436484,0.09989772729888748,0.024187882445083343,-0.30128358492070895,0.07440270763618255,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.055108725993017194,72,0.29573897453773595
48,0.25,12,0.05,0.5,0.3,0.2,0.8,1.2,20,2006-01-31,2026-01-31,0.5525123719094331,0.02242631872422285,0.10215518944776793,0.023751301694403183,-0.2864081431727006,0.07830195914052644,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05509872175323083,100,0.3033402713102523
36,0.2,12,0.1,0.5,0.3,0.25,0.75,1.2,20,2006-01-31,2026-01-31,0.5523573427232928,0.022421170762632503,0.10367208124160453,0.023354125176575168,-0.2936622033019942,0.07635020956229488,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.055103869714821174,72,0.31084605437020646
36,0.15,12,0.05,0.5,0.3,0.2,0.8,1.2,20,2006-01-31,2026-01-31,0.5521588236228825,0.022414577944562808,0.1040622651828186,0.023203203777284978,-0.3041933825052062,0.07368529111306091,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05511046253289087,102,0.3140642211223513
60,0.2,12,0.08,0.5,0.3,0.2,0.85,1.2,20,2006-01-31,2026-01-31,0.5525324110352747,0.022426984115879067,0.10559345315958946,0.022984229071579147,-0.3026912016913128,0.07409195903470728,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05509805636157461,83,0.3230703014879404
60,0.2,12,0.03,0.5,0.3,0.25,0.75,1.2,20,2006-01-31,2026-01-31,0.5515088510703245,0.022392986756367916,0.10413611193073291,0.02297941330822523,-0.2871273465214772,0.07798973879589319,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05513205372108576,114,0.3125141955477144
84,0.15,12,0.03,0.5,0.3,0.25,0.8,1.2,20,2006-01-31,2026-01-31,0.5527608202369321,0.022434567781541848,0.10725697127027052,0.022698457291014898,-0.29408494996462375,0.07628601118228104,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05509047269591183,119,0.3282955037355804
60,0.2,12,0.05,0.5,0.3,0.2,0.75,1.2,20,2006-01-31,2026-01-31,0.5478421442349699,0.022271022697261555,0.10019665063255705,0.02266565481904071,-0.28266761281115127,0.07878873166888316,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05525401778019212,102,0.29604259831485347
48,0.25,12,0.1,0.5,0.3,0.25,0.75,1.2,20,2006-01-31,2026-01-31,0.5499260671242321,0.02234037291953883,0.10365879138485211,0.02257765972641694,-0.2936622033019942,0.07607507084105271,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.055184667557914846,72,0.3080772905072873
